trackname,tracktype,importance,currentcon,lastcut,nextcut,importance,lastcheck,history,custodian,track_geometry
Waitaha North Bank Track,Route,Medium,,,,Medium,,,,"MULTILINESTRING((19006068.695299868 -5331691.68344358,19006013.03549987 -5331717.613943587,19005987.432099875 -5331661.177143579,19005951.809799876 -5331606.266043581,19005926.206299867 -5331549.829943573,19005881.67849987 -5331511.697543581,19005856.075099867 -5331456.787343579,19005811.54729988 -5331418.65544357,19005757.00069987 -5331398.826843571,19005703.567399878 -5331378.998343578,19005649.02079988 -5331359.169943579,19005623.417299878 -5331304.260543574,19005568.870799873 -5331275.2807435775,19005533.248499874 -5331227.998043571,19005489.833899867 -5331191.392343575,19005480.928399876 -5331134.958743572,19005483.15479987 -5331070.899343571,19005485.381199874 -5331006.840443573,19005495.39989987 -5330951.933243571,19005524.342999868 -5330897.026243562,19005571.09719987 -5330863.472143569,19005582.229099866 -5330808.565743566,19005601.153399866 -5330753.659543565,19005612.28539988 -5330700.27894356,19005622.30409987 -5330645.37344356,19005642.34159987 -5330590.468343564,19005652.360399872 -5330526.41274356,19005654.58679987 -5330462.357543553,19005637.888899863 -5330405.928343554,19005640.115199875 -5330343.399143556,19005650.133999873 -5330288.495743553,19005652.36039987 -5330224.442243554,19005654.58679988 -5330160.389143551,19005682.416699868 -5330105.48684355,19005684.642999865 -5330042.95954355,19005703.567399874 -5329988.0579435555,19005714.699299864 -5329933.156643555,19005716.92569987 -5329869.105543545,19005709.133299876 -5329814.205043548,19005682.416699868 -5329757.779743545,19005639.002099875 -5329719.654743546,19005593.361099876 -5329683.0549435485,19005538.814499874 -5329672.379943545))"
Mt Nardoo Trig from lower Nardoo Creek,Route,2,Permolatted but easy to lose when dropping from the top. Stick close to the prominent slip on the TR of the ridge. Needs a trim and remarking in places. Bottom entrance E1557368/ N5344300,,,2,1.73863E+12,,,"MULTILINESTRING((19201167.449299995 -5167921.120140667,19201130.0541 -5167915.835840673,19201078.7359 -5167909.839640662,19201061.815300003 -5167886.904340671,19200993.576399993 -5167875.061940667,19200990.2369 -5167848.529040662,19200931.2375 -5167817.4991406705,19200880.4758 -5167742.847940669,19200857.989299998 -5167679.739540669,19200863.889200002 -5167656.954740665,19200824.1482 -5167633.870140656,19200727.5229 -5167598.943540659,19200681.881900005 -5167604.489840662,19200630.897499997 -5167569.863140662,19200591.267800007 -5167529.540440659,19200523.02899999 -5167506.306240654,19200489.076500006 -5167477.525940659,19200466.367300004 -5167454.441740663,19200455.124100003 -5167431.507540653,19200461.135299996 -5167391.635140659,19200444.214799996 -5167351.463040654,19200444.437400002 -5167317.137140656,19200420.28109999 -5167286.408740656,19200376.6438 -5167230.947940654,19200353.82329999 -5167236.494040658,19200325.4369 -5167230.648140647,19200274.5639 -5167161.697440648,19200246.177400004 -5167144.459840649,19200246.511300005 -5167093.046940655,19200179.831000004 -5167087.051340653,19200161.240599997 -5167069.663940655,19200055.3215 -5167091.124640658,19199933.3264 -5167115.8409406515,19199881.828700006 -5167119.278040647,19199853.108299993 -5167153.453340657,19199818.9332 -5167164.695340656,19199796.224 -5167141.611840651,19199767.7262 -5167153.003740652,19199756.7284 -5167143.83884065,19199744.9057 -5167158.5497406535,19199733.5511 -5167158.399840652,19199733.662400004 -5167129.920340655,19199722.530500002 -5167095.445240647,19199699.9326 -5167066.816040647,19199677.000800002 -5167083.753740651,19199682.566799995 -5167100.991240646,19199608.094100002 -5167180.583940654,19199596.739499997 -5167174.738040647,19199579.485000003 -5167208.913640654,19199556.775800005 -5167191.675940648,19199545.309899993 -5167208.763740653,19199511.134800006 -5167197.072140649,19199476.959700003 -5167196.922240654,19199425.864100005 -5167185.080640652,19199397.254899994 -5167202.16844065,19199385.9004 -5167184.930840659,19199362.7459 -5167199.470440654,19199326.010499995 -5167271.419340656,19199311.09369999 -5167315.937940654,19199299.739100005 -5167315.7880406575,19199282.039300002 -5167407.224340654,19199270.3507 -5167464.334940659,19199252.984899994 -5167498.511540656,19199275.58269999 -5167544.380340653,19199240.851099994 -5167624.126640653,19199223.485199995 -5167664.000040658,19199206.2307 -5167692.481140659,19199189.310099997 -5167675.242540658,19199166.4896 -5167686.635040665,19199143.335199993 -5167737.901140667,19199114.6148 -5167771.928840672,19199108.826100003 -5167794.86384066,19199085.8943 -5167823.195440665,19199045.819299996 -5167851.527140664,19199056.8399 -5167914.486740672,19199056.617299996 -5167948.814840666,19199016.653600004 -5167954.361340665,19198993.833099995 -5167959.907740667))"
Mt Turiwhate from Kawaka (West Coast bike trail),Route,3,Good. Still needs marking.,,,3,1.64363E+12,,Keith Riley,"MULTILINESTRING((19067562.632099986 -5281102.94504269,19067573.21309999 -5280953.9032426905,19067585.86169998 -5280938.502842682,19067658.71189999 -5280920.477942698,19067738.87109998 -5280882.896042689,19067757.427199975 -5280872.946942682,19067766.901999988 -5280851.369142682,19067772.708399985 -5280792.075042694,19067755.556999974 -5280753.580042689,19068020.310799982 -5279036.617542659,19068182.995299976 -5278707.148142652,19067890.16839997 -5277755.126642631))"
Mungo River TR Detour,,1,,,,1,,,,"MULTILINESTRING((19056131.29669998 -5316935.216643314,19056127.957099967 -5316894.098143328,19056126.843899973 -5316852.979843324,19056127.957099974 -5316808.815943315,19056149.107799977 -5316770.74374332,19056170.258499984 -5316734.194643325,19056211.446699966 -5316725.0573433265,19056252.634899978 -5316711.351543315,19056287.14399997 -5316685.462643315,19056328.332199965 -5316682.416943314,19056365.06759997 -5316711.351543317,19056388.44469997 -5316746.377643318,19056429.63289997 -5316757.037843325,19056469.70789997 -5316769.220843315,19056513.12249997 -5316769.220843328,19056533.159999978 -5316807.293043321))"
Mt Stormy Route,Route,2,Abandoned by DOC some years back but still followable. Ridge section better than the creek section,,,2,,,,"MULTILINESTRING((19167839.2887 -5051250.22813853,19167845.636499997 -5051308.095638523,19167854.5352 -5051364.1730385255,19167847.8711 -5051404.330238528,19167829.36379999 -5051450.683638534,19167887.8709 -5051578.212538532,19167944.305100005 -5051675.753838535,19168003.152500004 -5051787.854738547,19168020.61370001 -5051823.890538539,19168050.810000006 -5051879.4537385395,19168076.193700004 -5051937.268138546,19168083.69740001 -5051958.607438539,19168094.558699995 -5051989.495438534,19168115.947700005 -5052026.416938537,19168129.43509999 -5052048.565738541,19168145.7484 -5052063.503538538,19168190.242200006 -5052091.355438551,19168211.93159999 -5052119.103138544,19168218.191600002 -5052127.111638543,19168234.467699993 -5052150.927138543,19168242.8876 -5052174.667838546,19168244.955499995 -5052205.446838545,19168261.1801 -5052234.782638547,19168284.9122 -5052259.586638541,19168296.9717 -5052272.190738548,19168333.638199996 -5052300.142838554,19168359.40940001 -5052316.949838546,19168390.035300005 -5052318.817138546,19168474.570899997 -5052343.986738556,19168551.690100007 -5052344.018938551,19168590.835699994 -5052343.4252385525,19168653.916000005 -5052335.387938547,19168720.44770001 -5052315.403838556,19168786.899499994 -5052304.043138544,19168910.5802 -5052298.004338545,19168966.8348 -5052351.747538548,19169089.28499999 -5052345.809838559,19169154.942900006 -5052372.415638548,19169243.938600007 -5052420.504638549,19169339.7114 -5052499.371938558,19169388.522899996 -5052565.985938556,19169460.78360001 -5052642.270238553,19169523.6968 -5052711.379038549,19169584.32280001 -5052773.3782385625,19169607.53130001 -5052809.037138556,19169614.176700003 -5052853.992538561,19169632.6564 -5052891.970338562,19169683.825899996 -5052958.607638563,19169746.742599998 -5053027.717238555,19169807.2409 -5053103.89293856,19169837.229199998 -5053170.333438562,19169874.387599993 -5053225.026138565,19169932.8177 -5053270.4655385725,19169979.893099993 -5053270.9033385655,19170048.02229999 -5053285.714438569,19170111.161000002 -5053331.196338572,19170174.04 -5053405.031838569,19170239.251699995 -5053481.251438571,19170302.067500003 -5053562.175338566,19170360.0682 -5053654.870138574,19170397.1449 -5053719.015038569,19170410.571999997 -5053754.640838576,19170427.33380001 -5053764.1921385825,19170471.711400002 -5053802.411438578,19170539.541599993 -5053850.299838575,19170618.969699997 -5053917.199838586,19170729.065199997 -5053977.293038576,19170815.7298 -5054025.35383858,19170895.2906 -5054078.075138576,19170979.818300005 -5054102.484038582,19171064.518899996 -5054107.988838578,19171137.428200003 -5054115.7476385785,19171207.833100002 -5054140.024938585,19171311.151600003 -5054169.329938587,19171458.062099997 -5054209.96643858,19171503.389899995 -5054286.048838593,19171601.404700004 -5054332.82163858,19171660.8788 -5054365.125938585,19171720.410099998 -5054427.880838588,19171772.319799993 -5054482.601138582,19171841.991400003 -5054553.817838584,19171967.721499994 -5054646.719238591,19172040.911300007 -5054717.9678385975,19172205.221199997 -5054821.805638594,19172328.542200003 -5054728.760238592,19172328.109200004 -5054666.231038594,19172345.345299996 -5054625.545438589,19172374.908499997 -5054565.079038589,19172395.798500005 -5054552.383238588,19172427.380300004 -5054542.096238585,19172468.306699995 -5054541.987838593,19172494.956900004 -5054551.777238585,19172576.883500002 -5054489.932638594,19172567.187900003 -5054447.462438587,19172604.343399998 -5054430.757438594,19172668.138800003 -5054403.450738591,19172667.2671 -5054363.717738588,19172699.383199997 -5054341.895538583,19172720.674099997 -5054300.274038579,19172716.723599993 -5054260.391438585,19172706.788500004 -5054229.779938588,19172715.817599997 -5054226.473638583,19172746.016599994 -5054219.183838587,19172776.256099995 -5054207.356538587,19172819.050500005 -5054195.642538593))"
Mt Turiwhate,Route,3,Reasonably good. Bit vague in places and from 900m to pole at top.,1.58125E+12,,3,1.58125E+12,,Glenn Johnston,"MULTILINESTRING((19068872.73339998 -5272370.262342547,19068774.584599983 -5272485.647042541,19068694.81439998 -5272901.932842543,19068687.02209998 -5272942.858842552,19068645.833799988 -5272956.500842551,19068604.645599984 -5272976.205942555,19068576.815799993 -5273009.553242549,19068555.665099986 -5273048.963842544,19068521.155999977 -5273076.24824256,19068479.96779998 -5273088.374642548,19068445.458799988 -5273115.659142549,19068410.949699976 -5273142.943642556,19068376.44069999 -5273168.71244256,19068335.252499983 -5273182.354842556,19068295.177399985 -5273186.902242542,19068259.55519999 -5273214.187042554,19068219.48019999 -5273226.313642548,19068178.29199998 -5273246.019342554,19068143.782899983 -5273273.304242556,19068102.59469998 -5273279.367642551,19068074.764899973 -5273312.715942557,19068040.255799975 -5273340.001142552,19067999.067599982 -5273359.707042549,19067957.87939998 -5273365.770442556,19067916.691199977 -5273370.318042555,19067875.50299998 -5273376.381342558,19067835.42789998 -5273390.024042558,19067800.918899983 -5273415.793542557,19067753.051499985 -5273421.856942556,19067705.184099987 -5273421.856942561,19067663.995899975 -5273427.9203425525,19067622.807699982 -5273433.983842566,19067588.298699975 -5273459.753442554,19067553.789599985 -5273487.0389425615,19067513.714599974 -5273493.102442557,19067479.205599982 -5273518.872242555,19067443.583299976 -5273546.157942556,19067395.715999976 -5273565.864342554,19067355.640899986 -5273571.927842567,19067307.77359998 -5273570.411942562,19067259.906199988 -5273568.896042559,19067218.717999984 -5273588.602542555,19067184.20889998 -5273621.952042563,19067156.379099987 -5273655.301642567,19067128.549199976 -5273688.651342567,19067100.719299987 -5273723.517042555,19067079.568599973 -5273762.930642564,19067065.09709998 -5273811.439842563,19067016.116499986 -5273837.210542561,19066974.928299982 -5273856.91754256,19066940.419199985 -5273884.204242566,19066899.23099998 -5273902.395442561,19066858.042799983 -5273922.102542569,19066833.669399977 -5273957.94944256,19066822.42059997 -5274003.963542564,19066829.099699974 -5274044.894242559,19066827.986599974 -5274093.404942564,19066813.51499998 -5274132.820042569,19066812.40179998 -5274181.331242573,19066811.28859998 -5274228.326742569,19066810.175399978 -5274276.838342567,19066802.383099984 -5274317.770242575,19066774.553199973 -5274351.122342566,19066746.723299988 -5274384.474542578,19066738.930999987 -5274425.4069425715,19066732.25179999 -5274466.339442571,19066717.78029998 -5274507.272242581,19066716.66709998 -5274554.269242568,19066724.767099984 -5274654.46114257))"
Terra Quinn side Track to Amethyst,Route,1,,,,1,,,,"MULTILINESTRING((18996451.804499842 -5338938.236543716,18996458.483599838 -5338897.021043709,18996467.38919984 -5338855.8057437,18996478.521199834 -5338814.590543713,18996479.63429984 -5338768.796143704,18996480.747499846 -5338723.001943705,18996481.86069984 -5338677.207943709,18996487.42669984 -5338635.9935436975,18996501.898199834 -5338596.305843697,18996530.841299843 -5338564.250443695,18996564.23719984 -5338536.774543705,18996600.972599838 -5338510.825143702,18996628.80249983 -5338480.296443706,18996662.198299836 -5338452.820743695,18996690.028199844 -5338422.292343702,18996718.97129984 -5338385.658343691,18996746.80109983 -5338355.130143704,18996783.536599834 -5338333.760443691,18996816.932399835 -5338306.285143696,18996844.762299836 -5338275.757143701,18996873.70529984 -5338239.123743692,18996897.082399845 -5338202.490443698))"
Kakapo Hut from the Little Wanganui,Route,3,Rough terrain but recut and now well marked.,1.72139E+12,,3,1.72139E+12,,Andrew Barker,"MULTILINESTRING((19180775.998299997 -5061491.693538711,19180759.032599997 -5061469.709638716,19180762.122300006 -5061277.512538709,19180736.686600007 -5061180.022338715,19180649.00959999 -5061018.238738715,19180659.958300006 -5060887.499138716,19180714.5048 -5060755.1733387,19180734.5423 -5060700.143138707,19180714.504800003 -5060651.406938704,19180652.061000004 -5060631.679338702,19180555.317899995 -5060614.3477387,19180427.3005 -5060581.735838708,19180333.792099994 -5060574.324038697,19180283.698400002 -5060538.747538699,19180261.434500005 -5060433.501038696,19180199.095600005 -5060319.361838689,19180144.203300003 -5060268.924638694,19180046.587899998 -5060182.98953869,19180012.078799993 -5060108.874938697,19179978.683 -5060048.539738693,19179988.7017 -5059928.037638695,19179979.796199996 -5059888.016738696,19179937.968200006 -5059816.225738686,19179894.080200005 -5059782.7774386825,19179850.6656 -5059773.884038689,19179804.412499998 -5059712.416638684,19179789.4398 -5059662.717038689,19179789.4398 -5059586.88303868,19179777.194700006 -5059535.247138683,19179750.478000008 -5059501.156638684,19179718.594 -5059478.352938673,19179684.799499996 -5059441.869038684,19179651.40370001 -5059413.707638685,19179623.4103 -5059338.728438687,19179610.893299993 -5059311.502638684,19179587.9516 -5059311.437738677,19179565.6877 -5059298.098338677,19179548.989699997 -5059259.562138684,19179526.725799996 -5059226.954838679,19179506.6883 -5059229.91913868,19179439.896600004 -5059216.579738671,19179403.161199994 -5059198.793938677,19179347.501500003 -5059188.418938682,19179297.4077 -5059148.401138674,19179217.257700007 -5059127.651138676,19179130.6872 -5059067.090538676,19179072.542299997 -5059028.348638669,19179037.692599997 -5059016.942038678,19178970.128399998 -5058985.367238669,19178898.4672 -5058976.166438672,19178851.016500007 -5058933.493338682,19178813.167900007 -5058912.743838667,19178779.772100005 -5058933.493338676,19178726.3387 -5058958.689138676,19178657.320599996 -5058958.689138672,19178568.000899993 -5058985.88193868,19178356.1526 -5059028.438138669,19178257.6836 -5059035.759238674,19178240.985699993 -5059022.420138683,19178218.7218 -5058961.653438664,19178125.213400003 -5058967.581838679,19178003.091000002 -5058951.93973868,19177932.630700003 -5058983.885038681,19177702.199399997 -5059031.312838673,19177495.14509999 -5059163.222538678,19177453.472499993 -5059195.815338681,19177398.297199994 -5059206.204738671,19177319.260300003 -5059225.47263868,19177104.970900003 -5059119.499738675,19177000.8866 -5059062.437438672,19176944.113700002 -5059041.687738679,19176916.8982 -5059024.0471386695,19176857.2844 -5059017.973738681,19176570.08020001 -5058948.314438669,19176515.533600006 -5059015.009538674,19176422.025200002 -5059120.24053868,19176354.12039999 -5059226.954838679,19176312.9501 -5059336.610638684,19176242.8009 -5059398.885838677,19176157.062500004 -5059463.140938679,19176103.551 -5059586.110238676,19175994.5584 -5059616.768338678,19175918.861099996 -5059661.234838687,19175867.6542 -5059707.183638682,19175805.3153 -5059735.345938693,19175750.768700007 -5059796.1175386915,19175823.126399994 -5059923.590938692,19175810.881199997 -5060120.733238694,19175834.258300006 -5060221.529338688,19175882.125699997 -5060310.467938695,19175882.125700004 -5060381.619438699,19175874.4964 -5060483.888138701,19175819.336000007 -5060586.689238696,19175789.130999997 -5060604.8119386975,19175737.4104 -5060673.642538705,19175677.297799997 -5060689.948638709,19175579.3367 -5060746.279038709,19175382.301200006 -5060887.106638712,19175171.907400005 -5060992.357938709,19175062.8143 -5061011.629438712,19175025.735799998 -5061086.566138711,19174954.834400002 -5061156.908238708,19174880.250299998 -5061309.601438718,19174780.062799998 -5061309.601438724,19174742.21410001 -5061389.655238716,19174742.21410001 -5061459.332138717,19174667.6301 -5061635.750538715,19174626.4419 -5061686.15633873,19174609.743899997 -5061772.1434387285,19174499.53760001 -5061861.096338728,19174426.862099998 -5061923.989638726,19174411.595200006 -5061997.492338731,19174452.18159999 -5062083.722138727,19174493.971699998 -5062199.124838729,19174495.084899995 -5062271.772838738,19174457.23619999 -5062554.957138736,19174451.6703 -5062675.053438736,19174411.595200006 -5062778.841638739,19174390.444500007 -5062885.596338748,19174353.709100004 -5062928.595138736,19174326.992399998 -5063019.04143875,19174280.23820001 -5063065.00623875,19174235.710399996 -5063127.281538751,19174161.987400007 -5063219.924038755,19174054.259700008 -5063299.282038749,19173964.090899996 -5063371.938338751,19173921.20260001 -5063424.4757387545,19173902.9414 -5063485.876638761,19173778.187300004 -5063637.360938761,19173734.772699993 -5063741.159438763,19173711.3956 -5063750.056538759,19173629.0192 -5063729.296738763,19173554.4352 -5063775.264938766,19173534.397600006 -5063836.061938764,19173496.549000002 -5063862.753438766,19173460.926800005 -5063926.516738767,19173423.078199994 -5063948.759838771,19173399.70109999 -5063988.797538768,19173359.626000002 -5064018.455238762,19173328.187099997 -5064072.260738765))"
The Bend to Cascade River,,Medium,,,,Medium,1.32555E+12,,,"MULTILINESTRING((18762007.062687196 -5483943.553846392,18761992.5814872 -5483977.455046395,18761954.613487195 -5483977.925346392,18761936.769187186 -5484011.643346381,18761896.427787177 -5484055.98144639,18761857.637787174 -5484071.636346394,18761829.28228717 -5484065.860946398,18761832.424387176 -5484038.956746392,18761832.203687172 -5484011.869546393,18761816.27608717 -5484010.155546388,18761776.10548716 -5484004.582346391,18761758.51548715 -5484018.007546385,18761734.390387148 -5483996.386446385,18761729.931887146 -5484016.44994639,18761640.754087143 -5483997.205946396,18761567.45848712 -5483980.519246395,18761531.080487117 -5483982.766546391,18761494.574187107 -5483956.2394463895,18761453.255387105 -5484001.774146398,18761471.976687115 -5484084.562446388,18761485.470187116 -5484194.142046389,18761494.149987116 -5484253.099146391,18761430.328087106 -5484510.822946395))"
Morgan Tops Track,,,Unknown,,,,,,,"MULTILINESTRING((19106153.259499997 -5258359.236642283,19106186.105700005 -5258364.799242282,19106209.482799996 -5258364.799242291,19106229.5203 -5258358.745542293,19106250.670999993 -5258351.178342293,19106268.482099995 -5258340.584342292,19106290.745999992 -5258342.0977422865,19106311.896700002 -5258348.151442283,19106336.386999995 -5258349.6649422925,19106356.424499992 -5258346.638042293,19106376.461999994 -5258340.584342291,19106399.8391 -5258340.584342287,19106417.650299992 -5258354.205242295,19106437.687799994 -5258367.8260422805,19106444.366899997 -5258392.041042284,19106459.95169999 -5258405.66194228,19106477.762799993 -5258426.850042296,19106493.34749999 -5258440.471042283,19106506.705899995 -5258460.145842287,19106523.403799992 -5258478.307242299,19106543.44129999 -5258502.522442302,19106560.1392 -5258520.6838422865,19106573.4975 -5258537.3319422845,19106586.855899997 -5258553.979942288,19106600.2142 -5258570.628042297,19106605.78019999 -5258616.032042288,19106589.082299992 -5258638.734142292,19106569.044799995 -5258643.274642299,19106555.2265 -5258663.140442291,19106543.44129999 -5258703.813842289,19106530.082899995 -5258720.462142301,19106522.290600006 -5258740.137542293,19106487.78149999 -5258787.055842305,19106479.989200003 -5258818.839442296,19106479.989200003 -5258846.082542293,19106473.309999995 -5258865.758142292,19106498.913499996 -5258921.758242302,19106551.233599994 -5259030.732342298,19106596.874599997 -5259077.652142306,19106641.402400002 -5259113.977242303,19106677.0247 -5259160.897442301,19106703.74139999 -5259216.899342302,19106757.1747 -5259244.14364231,19106801.702499997 -5259280.469442302,19106846.230300006 -5259318.308942299,19106899.6637 -5259336.471942308,19106945.304600004 -5259374.31174231,19106999.851199996 -5259392.474842309,19107016.549099986 -5259446.964442305,19107042.15259999 -5259502.968042315,19107058.8505 -5259557.458242302,19107077.774799995 -5259611.948842309,19107103.378299996 -5259666.439742315,19107111.1707 -5259722.444542316,19107128.981799986 -5259776.936042318,19107145.6797 -5259831.427942322,19107182.4152 -5259878.351742311,19107199.113099992 -5259932.844142311,19107207.492299993 -5259987.057442311,19107223.603399992 -5260041.8299423205,19107232.50889999 -5260097.837042315,19107231.395699997 -5260159.89934232,19107230.2825 -5260223.47574233,19107220.263800003 -5260277.970142326,19107219.150599994 -5260343.061142329,19107228.056199998 -5260397.556242326,19107244.754099995 -5260452.051742329,19107261.452000003 -5260506.547442328,19107242.527699996 -5260561.043542325,19107224.716599993 -5260615.539942331,19107223.603399992 -5260677.605642327,19107213.584599994 -5260732.10264233,19107184.64159999 -5260786.600042328,19107147.90609999 -5260832.01474233,19107120.0762 -5260886.512742339,19107110.05749999 -5260941.010942344,19107173.509599995 -5260941.010942334,19107236.9617 -5260950.094042329,19107300.41379999 -5260951.607942332,19107354.9604 -5260980.37104234,19107408.3937 -5261000.051142326,19107452.92149999 -5261036.383742331))"
Sunset Valley Track from Bobs Hut,,2,,,,2,,,,"MULTILINESTRING((19201042.556999993 -5194555.259341152,19200980.2181 -5194553.756141146,19200916.766000003 -5194573.298341144,19200845.521499995 -5194580.81464115,19200782.069400005 -5194553.756141152,19200765.37150001 -5194499.639341142,19200719.730499998 -5194454.542241144,19200703.0326 -5194362.845441153,19200676.315899998 -5194308.729741143,19200631.7881 -5194254.614341143,19200605.071399998 -5194191.480141147,19200586.1471 -5194128.346341146,19200542.732499994 -5194074.231941146,19200524.921400007 -5194009.595741147,19200479.280399997 -5193975.023041139,19200408.03589999 -5193928.425341139,19200345.696999993 -5193874.312141139,19200311.188 -5193818.696041142,19200265.546999995 -5193773.602241128,19200211.000400003 -5193737.527241135,19200157.5671 -5193699.949341135,19200104.1337 -5193665.377841142,19200041.794799995 -5193609.763041131,19199969.4371 -5193564.670141137,19199924.9093 -5193519.577441131,19199916.003800005 -5193447.429741129,19199872.589199997 -5193393.3192411205,19199818.04259999 -5193364.761041127,19199774.627999995 -5193328.687641131,19199720.08150001 -5193283.5961411325,19199693.36479999 -5193229.48654112,19199631.025899995 -5193164.856141118,19199577.592500005 -5193119.765341119,19199496.329299998 -5193074.67484112,19199452.914699998 -5193001.0274411235,19199402.820899997 -5192960.446441129,19199352.7271 -5192919.865641117,19199299.2938 -5192874.776041118,19199245.860399995 -5192811.6509411195,19199219.1438 -5192756.041141121,19199175.729199994 -5192701.934641112,19199131.201400004 -5192667.36674112))"
Cascade Creek Track,,Medium,,,,Medium,,,,"MULTILINESTRING((18864291.337197512 -5503934.251346572,18864236.41579751 -5503897.94354656,18864288.25679752 -5503822.347646558,18864165.56189751 -5503741.759146558,18864116.07149752 -5503762.7105465615,18863882.5377975 -5503643.101046564,18863719.282897484 -5503475.213346552,18863502.888897482 -5503220.7174465535,18863453.02739748 -5503080.903346546,18863318.74099747 -5503013.89774655,18863057.682097465 -5502941.385046548,18862719.24579745 -5502896.089946545,18862614.294497445 -5502855.8405465465,18862440.344997436 -5502883.960746545,18862274.76449742 -5502835.971646555,18862090.892897416 -5502858.5552465515,18861873.725897405 -5502828.704546554,18861628.56299739 -5502858.804146553,18861493.853597395 -5502801.950846547,18861381.633397385 -5502695.097546542,18861239.65239738 -5502688.903146545,18860921.52019736 -5502644.428246555,18860664.018797345 -5502607.689946546,18860454.697697338 -5502619.788346548,18860261.818997335 -5502557.063146554,18859965.81559732 -5502521.141546541,18859727.325397305 -5502550.371646549,18859638.1086973 -5502544.375246549,18859413.248297296 -5502595.075046543,18859189.20269727 -5502627.01254654,18859029.38259728 -5502569.887246553,18858907.506297275 -5502453.87134654,18858736.69749725 -5502314.826646541,18858482.00329725 -5502190.887446533))"
Mt Turawhate from Kawhaka cycle trail,,2,,,,2,,,,"MULTILINESTRING((19066994.96579999 -5276438.893842606,19067002.758199982 -5276397.952642613,19067003.87139998 -5276350.946342606,19066977.15469998 -5276316.070842604,19066944.871999986 -5276253.901842611,19066904.79699998 -5276219.026742602,19066850.250499982 -5276184.151742608,19066810.175399978 -5276162.923542609,19066776.77959998 -5276134.113942604,19066735.591399983 -5276126.532442601,19066682.157999985 -5276125.016142604,19066626.498299982 -5276144.7280426,19066585.31009998 -5276172.021342604,19066544.121899974 -5276190.216942609,19066502.933599982 -5276209.928942607,19066468.424599975 -5276237.222442607,19066419.443999972 -5276284.228142613,19066378.255799983 -5276317.587242606,19066343.746799972 -5276343.364742603,19066289.200199988 -5276376.723942612,19066246.89879999 -5276417.665042605,19066178.993899986 -5276435.861142613,19066137.805699974 -5276463.155342613,19066096.617499977 -5276482.867842608,19066055.429299984 -5276494.998642609,19066007.561899982 -5276507.129442604,19065966.37369998 -5276513.19484261,19065931.864699975 -5276546.55474261,19065889.56319997 -5276587.496542608,19065841.69589998 -5276626.922142606,19065800.50769998 -5276654.21694261,19065758.20619999 -5276701.224742609,19065717.017999977 -5276719.42134262,19065675.82979999 -5276752.781942624,19065627.962399974 -5276780.0770426225,19065572.302699983 -5276805.8558426155,19065517.756099984 -5276831.634742622,19065476.567899987 -5276851.348042618,19065428.70059998 -5276864.995742619,19065387.512299985 -5276849.831642615,19065347.437299974 -5276863.479242615,19065299.569899976 -5276861.962842627,19065258.381699983 -5276874.094142621,19065217.193499975 -5276907.455342628,19065189.363699984 -5276940.816542617,19065153.741399985 -5276968.112242614,19065112.55319998 -5277007.539442612,19065064.685799986 -5277013.605142621,19065016.818399984 -5277013.605142618,19064955.59269997 -5277012.088742611,19064915.51769998 -5277024.220242623,19064874.329499975 -5277016.638042623,19064834.254499987 -5277002.990142619,19064779.70789998 -5277007.539442618,19064731.840499982 -5277021.187342623,19064682.859999985 -5277046.96684262))"
